OID_,OBJECTID,GEO_ID,TYPE_DESC,SCODE_NAME,LCODE_NAME,NAME
2855,1155,1155.000000000000000,CGSP, ,3010,SCARBOROUGH HYDRO GREEN SPACE
2856,1238,1238.000000000000000,CGSP, ,3005,ETOBICOKE HYDRO GREEN SPACE
2857,1300,1300.000000000000000,CGSP, ,3005,ETOBICOKE HYDRO GREEN SPACE
2858,1010,1010.000000000000000,CGSP, ,3003,CITY WIDE OPEN SPACE
2859,1115,1115.000000000000000,CGSP, ,3010,SCARBOROUGH HYDRO GREEN SPACE
2860,1227,1227.000000000000000,CGSP, ,3005,ETOBICOKE HYDRO GREEN SPACE
2861,1229,1229.000000000000000,CGSP, ,354734,E.T. SETON PARK
2862,1011,1011.000000000000000,CGSP, ,355360,RUNNEYMEDE LANDS
2863,1022,1022.000000000000000,CGSP, ,3008,NORDHEIMER RAVINE
2864,1101,1101.000000000000000,CGSP, ,3010,SCARBOROUGH HYDRO GREEN SPACE
2865,1008,1008.000000000000000,CGSP, ,3003,CITY WIDE OPEN SPACE
2866,1153,1153.000000000000000,CGSP, ,3006,NORTH YORK HYDRO GREEN SPACE
2867,1349,1349.000000000000000,CGSP, ,3024,TORONTO ZOO
2868,1025,1025.000000000000000,CGSP, ,3003,CITY WIDE OPEN SPACE
2869,1180,1180.000000000000000,CGSP, ,3006,NORTH YORK HYDRO GREEN SPACE
2870,1157,1157.000000000000000,CGSP, ,3006,NORTH YORK HYDRO GREEN SPACE
2871,1271,1271.000000000000000,CGSP, ,3005,ETOBICOKE HYDRO GREEN SPACE
2872,1306,1306.000000000000000,CGSP, ,3005,ETOBICOKE HYDRO GREEN SPACE
2873,950,950.000000000000000,CGSP, ,355347,GLEN ROUGE CAMPGROUND
2874,1290,1290.000000000000000,CGSP, ,3005,ETOBICOKE HYDRO GREEN SPACE
2875,4305564,27833.000000000000000,CGSP,27833,27833,DON MONTGOMERY COMMUNITY RECREATION CENTRE - Building Grounds
2876,882,882.000000000000000,CGSP, ,3011,BROWNFIELD SITE
2877,884,884.000000000000000,CGSP, ,3017,CITY WIDE OPEN SPACE
2878,4305565,614.000000000000000,CGSP,614,614,LAWRENCE WALKWAY
2879,4305566,1450.000000000000000,CGSP,1450,1450,ORPINGTON CR EAST CENTRE ISLAND
2880,4305567,548.000000000000000,CGSP,548,548,JESSE KETCHUM PARK
2881,1093,1093.000000000000000,CGSP, ,3010,SCARBOROUGH HYDRO GREEN SPACE
2882,1608,1608.000000000000000,CGSP, ,354028,SUNNYBROOK PARK
2883,4305560,1032.000000000000000,CGSP,1032,1032,TORONTO INUKSHUK PARK
2884,4305561,1536.000000000000000,CGSP,1536,1536,THACKERAY PARK
2885,4305562,146.000000000000000,CGSP,146,146,CAIRNS AVENUE PARKETTE
2886,1230,1230.000000000000000,CGSP, ,3010,SCARBOROUGH HYDRO GREEN SPACE
2887,1195,1195.000000000000000,CGSP, ,3005,ETOBICOKE HYDRO GREEN SPACE
2888,1444,1444.000000000000000,CGSP, ,354820,GAFFNEY PARK
2889,1448,1448.000000000000000,CGSP, ,354138,WEST DEANE PARK
2890,1158,1158.000000000000000,CGSP, ,3010,SCARBOROUGH HYDRO GREEN SPACE
2891,941,941.000000000000000,CGSP, ,355346,ROUGE PARK
2892,942,942.000000000000000,CGSP, ,355346,ROUGE PARK
2893,1250,1250.000000000000000,CGSP, ,3010,SCARBOROUGH HYDRO GREEN SPACE
2894,1103,1103.000000000000000,CGSP, ,3010,SCARBOROUGH HYDRO GREEN SPACE
2895,821,821.000000000000000,CGSP, ,354933,HOME SMITH PARK
2896,834,834.000000000000000,CGSP, ,3017,CITY WIDE OPEN SPACE
2897,1243,1243.000000000000000,CGSP, ,3010,SCARBOROUGH HYDRO GREEN SPACE
2898,1376,1376.000000000000000,CGSP, ,3028,FINCH / DUFFERIN WOODLOT
2899,1042,1042.000000000000000,CGSP, ,3003,CITY WIDE OPEN SPACE
2900,1613,1613.000000000000000,CGSP, ,354734,E.T. SETON PARK
2901,1317,1317.000000000000000,CGSP, ,3005,ETOBICOKE HYDRO GREEN SPACE
2902,984,984.000000000000000,CGSP, ,354940,HUMBER ARBORETUM
2903,116,116.000000000000000,CGSP, ,3017,CITY WIDE OPEN SPACE
2904,1024,1024.000000000000000,CGSP, ,3003,CITY WIDE OPEN SPACE
2905,1291,1291.000000000000000,CGSP, ,3005,ETOBICOKE HYDRO GREEN SPACE
2906,1119,1119.000000000000000,CGSP, ,3010,SCARBOROUGH HYDRO GREEN SPACE
2907,974,974.000000000000000,CGSP, ,3004,DOWNSVIEW PARK
2908,1098,1098.000000000000000,CGSP, ,3010,SCARBOROUGH HYDRO GREEN SPACE
2909,992,992.000000000000000,CGSP, ,3003,CITY WIDE OPEN SPACE
2910,996,996.000000000000000,CGSP, ,3003,CITY WIDE OPEN SPACE
2911,1368,1368.000000000000000,CGSP, ,3026,CITY WIDE OPEN SPACE
2912,1405,1405.000000000000000,CGSP, ,3026,CITY WIDE OPEN SPACE
2913,66,66.000000000000000,CGSP, ,4055,ST. GEORGE'S CHURCH ON-THE-HILL CEMETERY
2914,1261,1261.000000000000000,CGSP, ,3010,SCARBOROUGH HYDRO GREEN SPACE
2915,1055,1055.000000000000000,CGSP, ,3003,CITY WIDE OPEN SPACE
2916,42,42.000000000000000,CGSP, ,4040,DAWES ROAD CEMETERY
2917,1033,1033.000000000000000,CGSP, ,3003,CITY WIDE OPEN SPACE
2918,1191,1191.000000000000000,CGSP, ,3010,SCARBOROUGH HYDRO GREEN SPACE
2919,952,952.000000000000000,CGSP, ,3003,CITY WIDE OPEN SPACE
2920,1231,1231.000000000000000,CGSP, ,3005,ETOBICOKE HYDRO GREEN SPACE
2921,1235,1235.000000000000000,CGSP, ,3003,EAST YORK HYDRO GREEN SPACE
2922,4305574,1082.000000000000000,CGSP,1082,1082,WALLACE C. SWANEK PARK
2923,1390,1390.000000000000000,CGSP, ,3014,MASSEY CREEK RAVINE
2924,1380,1380.000000000000000,CGSP, ,3026,CITY WIDE OPEN SPACE
2925,4305575,1207.000000000000000,CGSP,1207,1207,BRIAR HILL - CHAPLIN PARK
2926,4305576,1113.000000000000000,CGSP,1113,1113,WESTON VILLAGE PARKETTE
2927,4305577,59829.000000000000000,CGSP,59829,59829,TRCA LANDS ( 68)
2928,955,955.000000000000000,CGSP, ,3003,CITY WIDE OPEN SPACE
2929,1275,1275.000000000000000,CGSP, ,3012,TORONTO HYDRO GREEN SPACE
2930,1316,1316.000000000000000,CGSP, ,3004,ETOBICOKE CREEK RAVINE
2931,1319,1319.000000000000000,CGSP, ,3005,ETOBICOKE HYDRO GREEN SPACE
2932,1377,1377.000000000000000,CGSP, ,354741,EAST POINT PARK
2933,1174,1174.000000000000000,CGSP, ,3010,SCARBOROUGH HYDRO GREEN SPACE
2934,1438,1438.000000000000000,CGSP, ,3009,FALLINGBROOK ROAD SLOPES
2935,1464,1464.000000000000000,CGSP, ,3008,ETOBICOKE HYDRO GREEN SPACE
2936,975,975.000000000000000,CGSP, ,3004,DOWNSVIEW PARK
2937,1199,1199.000000000000000,CGSP, ,3010,SCARBOROUGH HYDRO GREEN SPACE
2938,4304744,684.000000000000000,CGSP,684,684,EVERETT PARK
2939,4304777,888.000000000000000,CGSP,888,888,ROSEBANK PARK
2940,4304778,336.000000000000000,CGSP,336,336,ELLESMERE PARK
2941,4304781,776.000000000000000,CGSP,776,776,OAKDALE PARK
2942,4304782,715.000000000000000,CGSP,715,715,MICHAEL POWER PARK
2943,4304745,91.000000000000000,CGSP,91,91,BERRY ROAD PARK
2944,4304798,1099.000000000000000,CGSP,1099,1099,WENDERLY PARK
2945,4304799,1247.000000000000000,CGSP,1247,1247,COPPERFIELD RD BOULEVARD
2946,4304800,59827.000000000000000,CGSP,59827,59827,TRCA LANDS ( 66)
2947,4304806,543.000000000000000,CGSP,543,543,JEAN AUGUSTINE PARK
2948,4309282,851.000000000000000,CGSP,851,851,ELIJAH PARK
2949,4304809,31643.000000000000000,CGSP,31643,31643,HOLY FAMILY COMMUNITY CENTRE - Building Grounds
2950,4304825,46828.000000000000000,CGSP,46828,46828,PAGE PARKETTE
2951,4304835,295.000000000000000,CGSP,295,295,DUBRAY PARKETTE
2952,4304841,639.000000000000000,CGSP,639,639,LITTLES PARK
2953,4304758,31646.000000000000000,CGSP,31646,31646,KEN COX COMMUNITY CENTRE - Building Grounds
2954,4304746,58944.000000000000000,CGSP,58944,58944,TORONTO ISLANDS - FORESTRY ISLAND
2955,4304747,31.000000000000000,CGSP,31,31,AMESBURY PARK
2956,4304753,913.000000000000000,CGSP,913,913,SADDLETREE PARK
2957,4304754,1356.000000000000000,CGSP,1356,1356,INDIAN MOUND TRAFFIC ISLAND
2958,4304759,848.000000000000000,CGSP,848,848,QUEENSWAY PARK
2959,4304771,59823.000000000000000,CGSP,59823,59823,TRCA LANDS ( 62)
2960,4304772,506.000000000000000,CGSP,506,506,HUMBER BAY PARK EAST
2961,4304779,525.000000000000000,CGSP,525,525,INGLEWOOD HEIGHTS PARK
2962,4304783,11979.000000000000000,CGSP,11979,11979,PARKSIDE ELEMENTARY SCHOOL - Building Grounds
2963,4304795,1221.000000000000000,CGSP,1221,1221,CARSTOWE ROAD LANDS
2964,4304801,1531.000000000000000,CGSP,1531,1531,TABOR HILL MEMORIAL PARK
2965,4304811,225.000000000000000,CGSP,225,225,CONFEDERATION PARK
2966,4304810,77.000000000000000,CGSP,77,77,BEECHGROVE RAVINE
2967,4304826,2094.000000000000000,CGSP,2094,2094,TORONTO ISLANDS - OLYMPIC ISLAND PARK
2968,4304827,1683.000000000000000,CGSP,1683,1683,CHAUNCEY - ISLINGTON PARKETTE
